id;nome;cpf;a;b;;
1;usuario 1;710.589.218-17;710589218;17;;710.589.218
2;usuario 2;400.021.126-11;400021126;11;;
3;usuario 3;873.173.683-19;873173683;19;;
4;usuario 4;888.904.907-14;888904907;14;;
5;usuario 5;919.720.509-13;919720509;13;;
6;usuario 6;994.742.094-16;994742094;16;;
7;usuario 7;918.950.051-16;918950051;16;;
8;usuario 8;513.662.967-10;513662967;10;;
9;usuario 9;220.430.253-13;220430253;13;;
10;usuario 10;853.099.244-16;853099244;16;;
11;usuario 11;303.848.786-12;303848786;12;;
12;usuario 12;756.659.619-17;756659619;17;;
13;usuario 13;965.166.812-10;965166812;10;;
14;usuario 14;377.698.752-11;377698752;11;;
15;usuario 15;768.774.679-10;768774679;10;;
16;usuario 16;600.769.649-10;600769649;10;;
17;usuario 17;265.356.343-14;265356343;14;;
18;usuario 18;767.923.564-15;767923564;15;;
19;usuario 19;419.350.261-15;419350261;15;;
20;usuario 20;866.851.993-17;866851993;17;;
21;usuario 21;557.664.471-16;557664471;16;;
22;usuario 22;121.481.415-10;121481415;10;;
23;usuario 23;959.261.633-17;959261633;17;;
24;usuario 24;933.447.548-16;933447548;16;;
25;usuario 25;261.945.416-19;261945416;19;;
26;usuario 26;297.431.494-13;297431494;13;;
27;usuario 27;891.550.572-10;891550572;10;;
28;usuario 28;597.056.161-13;597056161;13;;
29;usuario 29;946.837.707-16;946837707;16;;
30;usuario 30;424.136.034-18;424136034;18;;
31;usuario 31;395.460.437-11;395460437;11;;
32;usuario 32;597.509.213-16;597509213;16;;
33;usuario 33;299.017.281-13;299017281;13;;
34;usuario 34;238.397.887-18;238397887;18;;
35;usuario 35;220.490.500-10;220490500;10;;
36;usuario 36;588.836.435-17;588836435;17;;
37;usuario 37;142.781.095-19;142781095;19;;
38;usuario 38;724.380.714-10;724380714;10;;
39;usuario 39;893.512.839-12;893512839;12;;
40;usuario 40;326.223.933-16;326223933;16;;
41;usuario 41;786.641.107-16;786641107;16;;
42;usuario 42;215.221.717-18;215221717;18;;
43;usuario 43;422.317.408-16;422317408;16;;
44;usuario 44;420.507.653-12;420507653;12;;
45;usuario 45;301.626.483-19;301626483;19;;
46;usuario 46;184.850.092-19;184850092;19;;
47;usuario 47;348.730.023-17;348730023;17;;
48;usuario 48;439.777.643-13;439777643;13;;
49;usuario 49;934.722.326-12;934722326;12;;
50;usuario 50;974.887.198-12;974887198;12;;
51;usuario 51;293.496.323-18;293496323;18;;
52;usuario 52;439.517.146-10;439517146;10;;
53;usuario 53;258.952.998-19;258952998;19;;
54;usuario 54;130.212.082-12;130212082;12;;
55;usuario 55;257.364.507-19;257364507;19;;
56;usuario 56;647.179.233-12;647179233;12;;
57;usuario 57;274.404.160-18;274404160;18;;
58;usuario 58;492.079.035-15;492079035;15;;
59;usuario 59;740.341.611-16;740341611;16;;
60;usuario 60;847.740.322-12;847740322;12;;
61;usuario 61;946.040.624-19;946040624;19;;
62;usuario 62;767.152.821-10;767152821;10;;
63;usuario 63;920.869.419-10;920869419;10;;
64;usuario 64;303.480.737-18;303480737;18;;
65;usuario 65;212.861.873-11;212861873;11;;
66;usuario 66;201.845.310-11;201845310;11;;
67;usuario 67;222.542.947-16;222542947;16;;
68;usuario 68;466.998.539-18;466998539;18;;
69;usuario 69;729.206.803-10;729206803;10;;
70;usuario 70;959.312.507-12;959312507;12;;
71;usuario 71;611.787.290-17;611787290;17;;
72;usuario 72;175.810.004-14;175810004;14;;
73;usuario 73;784.450.037-18;784450037;18;;
74;usuario 74;417.514.756-13;417514756;13;;
75;usuario 75;532.753.585-14;532753585;14;;
76;usuario 76;495.292.212-17;495292212;17;;
77;usuario 77;141.491.893-10;141491893;10;;
78;usuario 78;727.845.631-11;727845631;11;;
79;usuario 79;166.314.568-13;166314568;13;;
80;usuario 80;695.296.316-15;695296316;15;;
81;usuario 81;146.898.611-12;146898611;12;;
82;usuario 82;542.579.929-16;542579929;16;;
83;usuario 83;850.303.613-18;850303613;18;;
84;usuario 84;848.414.544-12;848414544;12;;
85;usuario 85;488.514.926-14;488514926;14;;
86;usuario 86;786.328.311-10;786328311;10;;
87;usuario 87;309.886.082-15;309886082;15;;
88;usuario 88;700.925.024-17;700925024;17;;
89;usuario 89;182.123.845-14;182123845;14;;
90;usuario 90;656.560.676-19;656560676;19;;
91;usuario 91;623.944.162-19;623944162;19;;
92;usuario 92;126.366.769-10;126366769;10;;
93;usuario 93;321.212.264-15;321212264;15;;
94;usuario 94;978.508.333-10;978508333;10;;
95;usuario 95;886.520.743-13;886520743;13;;
96;usuario 96;650.542.741-17;650542741;17;;
97;usuario 97;861.127.832-18;861127832;18;;
98;usuario 98;302.664.147-14;302664147;14;;
99;usuario 99;972.860.269-19;972860269;19;;
100;usuario 100;176.108.110-15;176108110;15;;
101;usuario 101;741.922.216-19;741922216;19;;
102;usuario 102;550.508.628-16;550508628;16;;
103;usuario 103;441.173.223-18;441173223;18;;
104;usuario 104;406.908.102-12;406908102;12;;
105;usuario 105;581.672.088-14;581672088;14;;
106;usuario 106;870.883.505-17;870883505;17;;
